sector,cname,bse_code
IT -  Software  -  Small/Medium,Datasoft Application Software (India) Limited,32171
Financial Services -  Broking and Investment Management,Datasoft Application Software (India) Limited,30171
Chemicals -  Organic Chemicals,Daurala Organics Limited,24256
Textile -  Textiles  -  Others,Daurala Organics Limited,2817
Textile -  Textiles  -  Others,Daurala Organics Limited,590031
Engineering -  Bearings,Deccan Bearings Limited,505703
Media and Entertainment -  Publishing,Deccan Bearings Limited,532608
Media and Entertainment -  Publishing,Deccan Bearings Limited,512068
Packaging -  Packaging,Deccan Polypacks Limited,531989
Const/Bldg Material -  Building Material  -  Ceramics/Tiles and Sanitaryware,Deccan Polypacks Limited,532858
Steel -  Steel  -  Others,Deccan Polypacks Limited,26343
sector,cname,bse_code
Oil and Gas -  Natural gas,G A I L (India) Limited,532155
Financial Services -  NBFC  -  Large,G E Capital Transportation Financial Services Limited,398
Textile -  Textiles  -  Others,G E Capital Transportation Financial Services Limited,521133
Auto Ancillaries -  Auto Ancillaries  -  Others,G E Capital Transportation Financial Services Limited,31399
Engineering -  Light  -  General,G E Capital Transportation Financial Services Limited,505250
Chemicals -  Chlor - alkali,G E Capital Transportation Financial Services Limited,500171
Chemicals -  Chlor - alkali,G E Capital Transportation Financial Services Limited,3488
Chemicals -  Chemicals  -  Others,G E Capital Transportation Financial Services Limited,533212
Auto Ancillaries -  Transmission and Steering,G K N Driveline (India) Limited,20064
Breweries and Distilleries -  Breweries and Distilleries  -  Others,G M Breweries Limited,507488
Power -  Generation and Supply,G M R Infrastructure Limited,532754
IT -  Hardware,G M S Computers India Limited,30599
Telecom -  Telecom Equipment,G R Cables Limited,517564
Others -  Miscella  -  Others,G R Cables Limited,152
Auto Ancillaries -  Auto Ancillaries  -  Others,G R Cables Limited,513059
Textile -  Textiles  -  Others,G R Cables Limited,503738
Engineering -  Telecom Cables,G R Cables Limited,32080
Telecom -  Telecom Equipment,G R Cables Limited,532775
Telecom -  Telecom Equipment,G T L Limited,500160
Telecom -  Telecom Equipment,G T L Limited,523277
Leather & Footwear -  Footwear,G W L Properties Limited,8809
Leather & Footwear -  Footwear,G W L Properties Limited,532139
Leather & Footwear -  Footwear,G W L Properties Limited,505714
Chemicals -  Industrial Gases,G W L Properties Limited,524624
Textile -  Textiles  -  Others,G W L Properties Limited,31196
Auto Ancillaries -  Transmission and Steering,Gajra Bevel Gears Limited,505711
Auto Ancillaries -  Transmission and Steering,Gajra Bevel Gears Limited,504697
Others -  Trading,Galaxy Agrico Exports Limited,31911
Engineering -  Bearings,Galaxy Agrico Exports Limited,526073
Engineering -  Bearings,Galaxy Agrico Exports Limited,511128
Financial Services -  NBFC  -  Small / Medium,Gallops Enterprise Limited,531902
Packaging -  Packaging,Galore Prints Industries Limited,26679
Others -  Miscella  -  Others,Galore Prints Industries Limited,517391
Infrastructure Facilities -  Infrastructure Facilities  -  Others,Galore Prints Industries Limited,532959
Steel -  Steel  -  Others,Gandhi Special Tubes Limited,513108
Steel -  Steel  -  Others,Gandhi Special Tubes Limited,2856
Consumer Durables -  Home Appliances,Gandhimathi Appliances Limited,517421
Consumer Durables -  White Goods,Gandhinagar Electronics Limited,23439
Consumer Durables -  White Goods,Gandhinagar Electronics Limited,530237
Others,Gandhinagar Electronics Limited,11489
Chemicals -  Inorganic Chemicals,Ganesh Benzoplast Limited,500153
Others,Ganesh Foundry & Castings Limited,13448
Financial Services -  NBFC  -  Small / Medium,Ganesh Holdings Limited,4397
Const/Bldg Material -  Construction  -  Housing/Industrial,Ganesh Holdings Limited,526367
Textile -  Textiles  -  Others,Ganesh Polytex Limited,514167
Paper -  Paper  -  Small,Ganesh Polytex Limited,31813
